Number of total reads: 		250000
0.0004	1	Drosophila virilis
0.0004	1	Haloarcula marismortui ATCC 43049
0.0004	1	Prochlorococcus marinus str. MIT 9211
0.0004	1	Streptococcus bovis ATCC 700338
0.0004	1	Francisella tularensis subsp. tularensis FSC198
0.0004	1	Coffea arabica
0.0004	1	Acidilobus saccharovorans 345-15
0.0004	1	Enterococcus faecium Com15
0.0004	1	Erwinia billingiae Eb661
0.0004	1	Enterococcus faecium E1636
0.0004	1	Haemophilus influenzae NT127
0.0004	1	Zea mays subsp. mays
0.0004	1	Salmonella enterica subsp. enterica serovar Agona str. SL483
0.0004	1	Burkholderia multivorans CGD2M
0.0004	1	Legionella pneumophila str. Paris
0.0004	1	Chlamydophila felis Fe/C-56
0.0004	1	Vibrio sp. Ex25
0.0004	1	Silicibacter sp. TrichCH4B
0.0004	1	Bacillus cereus F65185
0.0004	1	Listeria monocytogenes FSL N1-017
0.0004	1	Burkholderia oklahomensis C6786
0.0004	1	Nitrobacter sp. Nb-311A
0.0004	1	Haemophilus influenzae PittAA
0.0004	1	Haemophilus influenzae HK1212
0.0004	1	Rickettsia prowazekii str. Madrid E
0.0004	1	Fusobacterium nucleatum subsp. nucleatum ATCC 23726
0.0004	1	Neisseria gonorrhoeae FA 1090
0.0004	1	Catenulispora acidiphila DSM 44928
0.0004	1	Corynebacterium glucuronolyticum ATCC 51867
0.0004	1	Enterococcus faecalis OG1RF
0.0004	1	Candida tropicalis MYA-3404
0.0004	1	Yersinia kristensenii ATCC 33638
0.0004	1	Escherichia coli SE11
0.0004	1	Caminibacter mediatlanticus TB-2
0.0004	1	Fusobacterium sp. 3_1_27
0.0004	1	Pinus thunbergii
0.0004	1	Mycoplasma agalactiae PG2
0.0004	1	Corynebacterium glucuronolyticum ATCC 51866
0.0004	1	Lactobacillus jensenii JV-V16
0.0004	1	Thermococcus sp. AM4
0.0004	1	Burkholderia pseudomallei 1710b
0.0004	1	Methanococcus maripaludis C5
0.0004	1	Mycoplasma alligatoris A21JP2
0.0004	1	Vibrio orientalis CIP 102891
0.0004	1	Actinobacillus minor 202
0.0004	1	Mycoplasma hyopneumoniae 7448
0.0004	1	delta proteobacterium NaphS2
0.0004	1	Tuber melanosporum Mel28
0.0004	1	Bacillus cereus Q1
0.0004	1	Burkholderia rhizoxinica HKI 454
0.0004	1	Labrenzia alexandrii DFL-11
0.0004	1	Yersinia rohdei ATCC 43380
0.0004	1	Rhodobacterales bacterium HTCC2255
0.0004	1	Kingella oralis ATCC 51147
0.0004	1	Yersinia frederiksenii ATCC 33641
0.0004	1	Mycoplasma leachii PG50
0.0004	1	Mycoplasma pulmonis UAB CTIP
0.0004	1	Vibrio tapetis
0.0004	1	Enterococcus faecium 1,231,502
0.0004	1	Escherichia fergusonii ATCC 35469
0.0004	1	Brucella sp. NF 2653
0.0004	1	Raphidiopsis brookii D9
0.0004	1	Lactobacillus reuteri 100-23
0.0004	1	Corynebacterium amycolatum SK46
0.0004	1	Corynebacterium striatum ATCC 6940
0.0004	1	Metallosphaera sedula DSM 5348
0.0004	1	Cyanobium sp. PCC 7001
0.0004	1	Micromonas pusilla CCMP1545
0.0004	1	Campylobacter jejuni subsp. jejuni 81-176
0.0004	1	Burkholderia cenocepacia MC0-3
0.0004	1	Streptococcus suis BM407
0.0004	1	Candidatus Riesia pediculicola USDA
0.0004	1	Xylella fastidiosa 9a5c
0.0004	1	Serratia odorifera DSM 4582
0.0004	1	Acinetobacter junii SH205
0.0004	1	Lactobacillus jensenii SJ-7A-US
0.0004	1	Segniliparus rotundus DSM 44985
0.0004	1	Xanthomonas fuscans subsp. aurantifolii str. ICPB 11122
0.0004	1	Plesiocystis pacifica SIR-1
0.0004	1	Sulfurimonas autotrophica DSM 16294
0.0004	1	Staphylococcus aureus subsp. aureus MRSA252
0.0004	1	marine gamma proteobacterium HTCC2080
0.0004	1	Helicobacter pylori SJM180
0.0004	1	Sulfurihydrogenibium yellowstonense SS-5
0.0004	1	Erwinia tasmaniensis Et1/99
0.0004	1	Enterococcus faecalis TX0860
0.0004	1	Comamonas testosteroni S44
0.0004	1	Mycobacterium avium subsp. avium ATCC 25291
0.0004	1	Xanthomonas campestris pv. vasculorum NCPPB702
0.0004	1	Streptococcus pneumoniae CCRI 1974M2
0.0004	1	Ferroplasma acidarmanus fer1
0.0004	1	Salmonella enterica subsp. enterica serovar Newport str. SL254
0.0004	1	Vibrio cholerae MZO-3
0.0004	1	Mycoplasma fermentans JER
0.0004	1	Clavispora lusitaniae ATCC 42720
0.0004	1	Candidatus Pelagibacter ubique HTCC1062
0.0004	1	Prochlorococcus marinus subsp. marinus str. CCMP1375
0.0004	1	Escherichia coli HS
0.0004	1	Azotobacter vinelandii DJ
0.0004	1	Thermococcus sibiricus MM 739
0.0004	1	Octadecabacter antarcticus 238
0.0004	1	Thermoplasma acidophilum DSM 1728
0.0004	1	Veillonella sp. 6_1_27
0.0004	1	Acidobacterium sp. SP1PR4
0.0004	1	Methanosphaerula palustris E1-9c
0.0004	1	Staphylococcus aureus A5948
0.0004	1	Aspergillus terreus NIH2624
0.0004	1	Chlamydia trachomatis B/Jali20/OT
0.0004	1	Clostridium phage phi CD119
0.0004	1	Rhodococcus equi ATCC 33707
0.0004	1	Acinetobacter sp. RUH2624
0.0004	1	Aggregatibacter actinomycetemcomitans D11S-1
0.0004	1	Lactobacillus plantarum JDM1
0.0004	1	Streptomyces pristinaespiralis ATCC 25486
0.0004	1	Arthrobacter chlorophenolicus A6
0.0004	1	Candidatus Ruthia magnifica str. Cm (Calyptogena magnifica)
0.0004	1	Lactobacillus gasseri ATCC 33323
0.0004	1	Staphylococcus hominis SK119
0.0004	1	Bacillus mycoides DSM 2048
0.0004	1	Propionibacterium freudenreichii subsp. shermanii CIRM-BIA1
0.0004	1	Brucella neotomae 5K33
0.0004	1	Flavobacteriales bacterium ALC-1
0.0004	1	Planctomyces limnophilus DSM 3776
0.0004	1	Campylobacter jejuni subsp. jejuni CF93-6
0.0004	1	Campylobacter jejuni subsp. jejuni ICDCCJ07001
0.0004	1	Ehrlichia ruminantium str. Welgevonden
0.0004	1	Fusobacterium sp. 1_1_41FAA
0.0004	1	Pelodictyon phaeoclathratiforme BU-1
0.0004	1	Streptomyces sp. Mg1
0.0004	1	Arcobacter nitrofigilis DSM 7299
0.0004	1	Laccaria bicolor S238N-H82
0.0004	1	Mycoplasma hominis ATCC 23114
0.0004	1	Roseobacter sp. GAI101
0.0004	1	Synechococcus sp. CC9605
0.0004	1	Enterocytozoon bieneusi H348
0.0004	1	Aurantimonas manganoxydans SI85-9A1
0.0004	1	Acidithiobacillus ferrooxidans ATCC 53993
0.0004	1	Burkholderia oklahomensis EO147
0.0004	1	Polaromonas sp. JS666
0.0004	1	Mycobacterium bovis AF2122/97
0.0004	1	Mannheimia haemolytica PHL213
0.0004	1	Staphylococcus epidermidis W23144
0.0004	1	Listeria monocytogenes FSL R2-561
0.0004	1	Helicobacter pylori J99
0.0004	1	Mycoplasma arthritidis 158L3-1
0.0004	1	Escherichia coli O157:H7 str. EC869
0.0004	1	Streptococcus agalactiae COH1
0.0004	1	Escherichia coli IAI1
0.0004	1	Agrobacterium tumefaciens
0.0004	1	Escherichia coli O111:H- str. 11128
0.0004	1	Staphylococcus warneri L37603
0.0004	1	Pantoea sp. At-9b
0.0004	1	Roseovarius sp. 217
0.0004	1	Helicobacter pullorum MIT 98-5489
0.0004	1	Lactobacillus phage phiAT3
0.0004	1	Streptococcus phage O1205
0.0004	1	Listeria monocytogenes FSL J2-003
0.0004	1	Lactobacillus reuteri CF48-3A
0.0004	1	Ceratophyllum demersum
0.0004	1	Pseudomonas aeruginosa PACS2
0.0004	1	Pyrobaculum islandicum DSM 4184
0.0004	1	Acinetobacter radioresistens SK82
0.0004	1	Salmonella enterica subsp. enterica serovar Paratyphi A str. ATCC 9150
0.0004	1	Yersinia pestis Pestoides F
0.0004	1	Burkholderia ambifaria IOP40-10
0.0004	1	Physcomitrella patens
0.0004	1	Mycoplasma hyopneumoniae 232
0.0004	1	Pseudomonas fluorescens SBW25
0.0004	1	Candidatus Korarchaeum cryptofilum OPF8
0.0004	1	Shewanella piezotolerans WP3
0.0004	1	Legionella pneumophila str. Corby
0.0004	1	Cafeteria roenbergensis
0.0004	1	Acinetobacter baumannii ACICU
0.0004	1	Carboxydibrachium pacificum DSM 12653
0.0004	1	Escherichia coli 1827-70
0.0004	1	Bordetella parapertussis 12822
0.0004	1	Vibrio caribbenthicus ATCC BAA-2122
0.0004	1	Acinetobacter lwoffii SH145
0.0004	1	Dermacoccus sp. Ellin185
0.0004	1	Methylovorus sp. SIP3-4
0.0004	1	Acinetobacter sp. SH024
0.0004	1	Yersinia mollaretii ATCC 43969
0.0004	1	Actinobacillus pleuropneumoniae serovar 2 str. 4226
0.0004	1	Propionibacterium acnes J139
0.0004	1	Sagittula stellata E-37
0.0004	1	Bifidobacterium bifidum NCIMB 41171
0.0004	1	Enterococcus faecalis JH1
0.0004	1	Listeria grayi DSM 20601
0.0004	1	Vibrio cholerae RC385
0.0004	1	Escherichia coli FVEC1302
0.0004	1	Methanococcus aeolicus Nankai-3
